, ,,,Week 7 - Deadline is 10am Thursday 4th December,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,,,,,,,,
,No.,Store,Window,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Total Hours provided,Forecasted Hours,Guide Hours,Required Flex,Provided vs Forecasted Hours,Provided vs Guide Hours,Reason for not meeting Headcount,Actions being taken to resolve for future weeks
#REF!,218,Cleveleys,11.30-13.30,4,4,4,4,4,4,4,4,4,4,5,5,4,4,,,,,,,,
#REF!,218,Cleveleys,13.30-15.30,3,3,3,3,4,4,3,3,4,4,4,4,3,3,,,,,,,,
#REF!,218,Cleveleys,15.30-17.30,3,3,3,3,2,2,3,3,3,3,3,3,2,2,,,,,,,,
#REF!,218,Cleveleys,17.30-19.30,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,,
,218,Cleveleys,Total Hours,44,44,44,44,40,40,46,46,52,52,54,54,40,40,320,320,320,0,0,0,,
#REF!,440,Connahs Quay,05.30-7.30,4,4,4,4,4,4,3,3,4,4,6,6,4,4,,,,,,,,
#REF!,440,Connahs Quay,07.30-9.30,8,8,7,7,7,7,7,7,9,9,10,10,9,9,,,,,,,We still only have 9 working phones,
#REF!,440,Connahs Quay,09.30-11.30,8,8,7,7,6,6,7,7,9,9,10,10,9,9,,,,,,,,
#REF!,440,Connahs Quay,11.30-13.30,7,7,6,6,5,5,6,6,8,8,9,9,9,9,,,,,,,,
#REF!,440,Connahs Quay,13.30-15.30,5,5,5,5,5,5,5,5,6,6,7,7,7,7,,,,,,,,
#REF!,440,Connahs Quay,15.30-17.30,4,4,3,3,3,3,3,3,4,4,4,4,3,3,,,,,,,,
,440,Connahs Quay,Total Hours,72,72,64,64,60,60,62,62,80,80,92,92,82,82,512,512,512,0,0,0,,
,145,Dundee,09.30-11.30,2,2,2,2,2,2,2,2,2,2,3,3,3,2,,,,,,,,
#REF!,145,Dundee,11.30-13.30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,
#REF!,145,Dundee,13.30-15.30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,
,145,Dundee,Total Hours,12,12,12,12,12,12,12,12,12,12,14,14,14,12,86,88,88,0,-2,-2,,
#REF!,28,Eccles,05.30-7.30,4,4,4,4,4,4,4,4,5,5,4,4,5,5,,,,,,,,
#REF!,28,Eccles,07.30-9.30,7,7,8,8,7,7,8,8,9,9,10,10,11,11,,,,,,,,
#REF!,28,Eccles,09.30-11.30,8,8,8,8,7,7,8,8,9,9,10,10,11,11,,,,,,,,
