store_number,merchant_id,new_id,store_name,marketplace_id
115,amzn1.merchant.d.AB6HZQO5AA54XGS3FA427VSXYALQ,A3641VZ9EL3ZLI,Morrisons - Norwich,AM7DNVYQULIQ5
672,amzn1.merchant.d.ACKWQ7TAVXAO454S4RZLXIHGWTSQ,A3L9HITPYU3W9G,Morrisons - Oxford,AM7DNVYQULIQ5
356,amzn1.merchant.d.AD5HTNZWDBDDBHIALV3BNTYNKHWA,A2DP2KUCPG8WZ0,Morrisons - Oxted,AM7DNVYQULIQ5
306,amzn1.merchant.d.WMHEWBS7ELAGGVM5WFDK7NYIJI,AY5CM7XPHJ4QW,Morrisons - Peckham,AM7DNVYQULIQ5
414,amzn1.merchant.d.AA6YLEFUYQALM4FIQ237MZTEHC4A,A3A3LFPT4CMUIQ,Morrisons - Peterborough,AM7DNVYQULIQ5
333,amzn1.merchant.d.ABUIDQVQJGPBAUYUQBXQZF4APD7Q,A1B68698Q7DOO5,Morrisons - Plymouth,AM7DNVYQULIQ5
522,amzn1.merchant.d.NYKD5HXX4QSLT25WKLS7STRMVU,A22B0WPRGF6NA6,Morrisons - Portsmouth,AM7DNVYQULIQ5
41,amzn1.merchant.d.ACKDJINKJIXIGAHOSS35RQHYSARA,A20FHLH5LYF9SO,Morrisons - Preston,AM7DNVYQULIQ5
307,amzn1.merchant.d.UVNUMNMSCHPKLS5KIRQXFZZLLE,A3FS05Z9P7KLCT,Morrisons - Queensbury,AM7DNVYQULIQ5
359,amzn1.merchant.d.AD7N2ILMP7B7JE75LPWRCYAKBQCQ,A3MIBTKICT9P0A,Morrisons - Reading,AM7DNVYQULIQ5
216,amzn1.merchant.d.NV7HF67HVVLGDQLLHNYL2PZUNY,A2CJT66RFATYKL,Morrisons - Reddish,AM7DNVYQULIQ5
334,amzn1.merchant.d.AADFCQY6JELXLIBGBGNKKCXIKXWA,A1HR9BR4GI6EI3,Morrisons - Redruth,AM7DNVYQULIQ5
129,amzn1.merchant.d.AAEES5JFGCLO24FGYQ3NVXN6X5JA,A27SH5NSDRHEQE,Morrisons - Rhyl,AM7DNVYQULIQ5
29,amzn1.merchant.d.YYENNYT7VOMTTR3X6BBX4EGGSM,#N/A,Morrisons - Sheffield,AM7DNVYQULIQ5
554,amzn1.merchant.d.OZWAXY3UARKV2URONFVBS3NNU4,A1JWDVZVZ6DQ3P,Morrisons - Sheldon,AM7DNVYQULIQ5
21,amzn1.merchant.d.CPLE2GK7TJJ6XVWSPZMFDKRKXA,A2VMOOV1X7TL1D,Morrisons - St. Helens,AM7DNVYQULIQ5
27,amzn1.merchant.d.ADOPWVRANYJOK2W244NREK5ZSLTA,AEY5HLCAW6K5T,Morrisons - Staveley,AM7DNVYQULIQ5
196,amzn1.merchant.d.ADTPODAQGQ7FA76RFGS52P5FNNGQ,A31PYH6SWKUP3W,Morrisons - Stevenston,AM7DNVYQULIQ5
197,amzn1.merchant.d.ADSHPIPVDZ2AJMWQO2CNEFQWYABA,ARQJBZJSL9SPH,Morrisons - Stirling,AM7DNVYQULIQ5
50,amzn1.merchant.d.Q4M5VKOOUG25TGOYCBXRXGGE4U,AGSGFPU3FTF03,Morrisons - Stoke,AM7DNVYQULIQ5
309,amzn1.merchant.d.EW5JFFAY7FNOX77UHNWO3QBZ54,A3L2WCBX4NBSPG,Morrisons - Stratford,AM7DNVYQULIQ5
634,amzn1.merchant.d.AAP3BBXOZPKOIHI5HJPNXWNK6CSQ,A3MINBZL6VYED6,Morrisons - Swindon,AM7DNVYQULIQ5
335,amzn1.merchant.d.ACZ4M364GT4NEKJ4XTIPPAITBI3Q,A3SX7WTPAAU5PS,Morrisons - Taunton,AM7DNVYQULIQ5
8,amzn1.merchant.d.ADO2HL4X4LC76PIVOEYRC7ZJ3NVA,AUZEWDZMK0Q1R,Morrisons - Thornbury,AM7DNVYQULIQ5
218,amzn1.merchant.d.PMPSTY6I7DNDVHT7PKBFHYWZ4M,A17RPO3GZI2IUO,Morrisons - Thornton-Cleveleys,AM7DNVYQULIQ5
339,amzn1.merchant.d.ABECVRCSAKNVW67M4G4FVCO23RCA,A25XJSNY0EPLVI,Morrisons - Totnes,AM7DNVYQULIQ5
364,amzn1.merchant.d.AAGM6ZT7KWZPM6PB2SGKHQXBOKBQ,AS2SBM6RJK88J,Morrisons - Totton,AM7DNVYQULIQ5
640,amzn1.merchant.d.AB5JWTJFSBO7S3THRJNLTVZPWGPA,A299P18YFEDOUL,Morrisons - Verwood,AM7DNVYQULIQ5
63,amzn1.merchant.d.QCVI66OCQYV52DXRWORDAVWGP4,AWJRHY3KE6MVX,Morrisons - Walsall,AM7DNVYQULIQ5
340,amzn1.merchant.d.ABYYSHIEKEANG6QFDRBAYF45PEXA,A1VER0SFLAR3S6,Morrisons - Warminster,AM7DNVYQULIQ5
586,amzn1.merchant.d.AUXJGBRU7DEMYNYEBI3VJ4RLVA,AIA139C5NOMRJ,Morrisons - Watford,AM7DNVYQULIQ5
447,amzn1.merchant.d.FDGSUN366YYC7QEXPPHEERH4C4,A18A5G2XINSPM7,Morrisons - Welling,AM7DNVYQULIQ5
49,amzn1.merchant.d.ABOTA5CJ3NI6XPOV26YI42NFT35Q,A1XL9ME7TBTE7U,Morrisons - Wellington,AM7DNVYQULIQ5
319,amzn1.merchant.d.7ABDPNKITZDKBTMZXQPJ375QDQ,A3IJEL5EKR7SFA,Morrisons - Welwyn Garden City,AM7DNVYQULIQ5
